VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.1300  0.9143  1.5351 -0.6040 -1.6796 -0.2260 -0.7144  0.6459  0.6060  0.4478 -0.7246 -0.0022 -0.7186  0.5170  1.0053  0.5465 -0.5771  0.6822  0.8046 -0.7886  0.6295  0.9820 -0.5329  0.1442  0.5550 -1.4082  0.8114 -0.6832  1.8420  0.9505 -0.7941
 -0.8652  0.7647 -1.1243 -1.3381  0.7168 -0.8250 -0.6123 -0.4015  0.6128 -0.6487 -0.8873  1.3144 -0.9703  0.6722 -0.8508 -0.5113 -0.8766  1.0231  0.9842  0.3345  0.9042  0.7083  0.6901 -0.8987  0.5023  0.9818 -1.1535  0.3628 -1.7510  0.7977 -0.3947
  0.2029  0.8231  1.2892 -0.6800 -1.4852 -0.1612 -0.7766  0.7819  0.5832  0.3506 -0.6567 -0.0053 -0.7827  0.4498  0.9818  0.3711 -0.3843  0.7262  0.8941 -0.7311  0.5719  0.7389 -0.4869  0.5078  0.5086 -1.5400  0.8770 -0.6117  1.8769  0.4516 -0.5030
