VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.0219  1.8760  0.7592 -0.3235 -0.8202 -0.3262 -0.5261 -0.8796  0.1164  0.3498 -0.7514 -0.0359 -0.5731  0.3819  2.0485 -0.2929  0.1117  0.4699  0.6221 -0.4602  0.0035  0.2499 -0.1469 -0.3156  0.3080 -0.6879  0.6555 -0.6725  0.4979  1.2467  0.1881
 -0.9363  1.8589 -0.8286 -0.8860  0.5774 -0.6888 -0.5584 -0.2721  0.3972 -1.1014 -0.6650  0.4832 -1.3557  0.1399 -0.5887 -0.1087  0.0208  0.4692  0.2575  1.7836  0.7469  0.2172  0.4349 -0.3726  0.2847  0.5267 -0.6103  0.1005 -0.5284  0.5449 -0.3191
  1.1451  0.8881 -0.0074  0.7833 -0.1330 -0.0285 -0.8652 -0.2199  0.1427  0.6261 -0.7388 -0.9581 -0.5090  0.2803  0.2493 -0.4846 -1.5977  1.1733 -1.3123 -0.2380  0.1609  0.3085 -0.4457 -0.3241  0.0676  1.1716 -2.2262 -2.0159  0.7427 -0.3964 -0.0222
