VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.2110  0.8245  0.9702 -0.7506 -0.6112 -0.7220 -0.7811 -0.0441  0.7214  0.4713 -0.6717 -0.4854 -0.8471  0.4513  1.2130  0.3513 -0.3551  0.7539  0.9108 -0.8564  1.5133  0.6086 -0.6833  0.1215  0.8237 -1.2045  0.9152 -0.6777  0.6373  0.4917  0.0584
 -0.9115  0.8264 -0.6090 -1.3696  0.6837 -0.7557 -0.8795 -0.4952  0.6156 -0.5857 -0.8508  0.5474 -1.0614  0.8515 -0.9867 -0.3763 -0.6328  0.6232  0.6520  0.3592  0.8641  0.5431  0.7558 -0.3913  0.4928  0.8458 -0.5180  0.2439 -1.0724  0.5807 -0.3464
  0.9362  0.0043 -0.1987  0.9120 -1.3911 -0.0477 -0.1816 -0.0979  0.0828  0.5020 -0.1402 -0.6500 -0.3870  0.2446  0.1124 -0.0686 -0.0760  0.4287 -0.8015 -0.0887  0.5492 -1.1175 -0.6102 -0.1877  0.0901  0.8987 -0.6884 -0.5030  0.1467 -0.2874  0.0835
