# smoothed 5-degree surfaces from Chad Rienstra
#
#
  -1.8000000e+02  -1.8000000e+02   1.1869602e+02  1.4712405e+02  1.5018906e+02
  -1.8000000e+02  -1.7500000e+02   1.2007115e+02  1.4705041e+02	 1.5126977e+02
  -1.8000000e+02  -1.7000000e+02   1.2134166e+02  1.4687063e+02	 1.5222049e+02
  -1.8000000e+02  -1.6500000e+02   1.2248077e+02  1.4658528e+02	 1.5303975e+02
  -1.8000000e+02  -1.6000000e+02   1.2347504e+02  1.4619777e+02	 1.5372765e+02
  -1.8000000e+02  -1.5500000e+02   1.2433404e+02  1.4571461e+02	 1.5428719e+02
  -1.8000000e+02  -1.5000000e+02   1.2508066e+02  1.4514519e+02	 1.5472289e+02
  -1.8000000e+02  -1.4500000e+02   1.2573648e+02  1.4450128e+02	 1.5503915e+02
  -1.8000000e+02  -1.4000000e+02   1.2631593e+02  1.4379628e+02	 1.5523981e+02
  -1.8000000e+02  -1.3500000e+02   1.2682677e+02  1.4304464e+02	 1.5532848e+02
  -1.8000000e+02  -1.3000000e+02   1.2727183e+02  1.4226151e+02	 1.5530895e+02
  -1.8000000e+02  -1.2500000e+02   1.2765055e+02  1.4146265e+02	 1.5518544e+02
  -1.8000000e+02  -1.2000000e+02   1.2795992e+02  1.4066455e+02	 1.5496283e+02
  -1.8000000e+02  -1.1500000e+02   1.2819478e+02  1.3988471e+02	 1.5464695e+02
  -1.8000000e+02  -1.1000000e+02   1.2834784e+02  1.3914216e+02	 1.5424514e+02
  -1.8000000e+02  -1.0500000e+02   1.2840919e+02  1.3845811e+02	 1.5376697e+02
  -1.8000000e+02  -1.0000000e+02   1.2836603e+02  1.3785633e+02	 1.5322539e+02
  -1.8000000e+02  -9.5000000e+01   1.2820402e+02  1.3736201e+02	 1.5263767e+02
  -1.8000000e+02  -9.0000000e+01   1.2791454e+02  1.3699525e+02	 1.5202508e+02
  -1.8000000e+02  -8.5000000e+01   1.2750973e+02  1.3675774e+02	 1.5141019e+02
  -1.8000000e+02  -8.0000000e+01   1.2703146e+02  1.3662505e+02	 1.5081509e+02
  -1.8000000e+02  -7.5000000e+01   1.2653844e+02  1.3655880e+02	 1.5026301e+02
  -1.8000000e+02  -7.0000000e+01   1.2608284e+02  1.3652844e+02	 1.4977937e+02
  -1.8000000e+02  -6.5000000e+01   1.2569681e+02  1.3652420e+02	 1.4939057e+02
  -1.8000000e+02  -6.0000000e+01   1.2539338e+02  1.3655661e+02	 1.4912120e+02
  -1.8000000e+02  -5.5000000e+01   1.2516692e+02  1.3665501e+02	 1.4898660e+02
  -1.8000000e+02  -5.0000000e+01   1.2499269e+02  1.3686594e+02	 1.4898702e+02
  -1.8000000e+02  -4.5000000e+01   1.2483685e+02  1.3723916e+02	 1.4911239e+02
  -1.8000000e+02  -4.0000000e+01   1.2466988e+02  1.3780316e+02	 1.4934736e+02
  -1.8000000e+02  -3.5000000e+01   1.2447324e+02  1.3855057e+02	 1.4967204e+02
  -1.8000000e+02  -3.0000000e+01   1.2423994e+02  1.3944533e+02	 1.5006354e+02
  -1.8000000e+02  -2.5000000e+01   1.2397467e+02  1.4043147e+02	 1.5049637e+02
  -1.8000000e+02  -2.0000000e+01   1.2369298e+02  1.4143693e+02	 1.5094235e+02
  -1.8000000e+02  -1.5000000e+01   1.2341447e+02  1.4238682e+02	 1.5137670e+02
  -1.8000000e+02  -1.0000000e+01   1.2315230e+02  1.4322201e+02	 1.5178851e+02
  -1.8000000e+02  -5.0000000e+00   1.2290751e+02  1.4390797e+02	 1.5218546e+02
