# lys - chi1=-60, chi2=180, chi3=180, chi4=180
#
#phi  psi  s11  s22  s33  siso  saniso  Æs*  ½  
-75.0  180.0  122.1  144.2  163.7  143.3  30.5  28.1  41.6  
-60.0  180.0  125.8  142.5  160.7  143.0  26.5  21.5  34.9  
-165.0  -165.0  122.4  148.4  158.3  143.0  23.0  26.7  36.0  
-150.0  -165.0  120.4  149.8  162.7  144.3  27.6  33.0  42.3  
-135.0  -165.0  118.7  150.3  166.5  145.2  32.0  38.5  47.7  
-120.0  -165.0  118.0  149.9  168.8  145.6  34.8  41.1  50.8  
-105.0  -165.0  118.3  148.8  168.9  145.3  35.3  40.1  50.6  
-90.0  -165.0  119.9  147.3  166.8  144.7  33.3  35.9  47.0  
-75.0  -165.0  122.8  145.6  163.6  144.0  29.4  29.7  40.8  
-60.0  -165.0  126.7  143.9  160.4  143.7  25.1  23.3  33.7  

