#Threonine - chi1 = 60
#
#phi   psi  s11  s22  s33  siso  saniso  Æs*  ½  
-120  120  130.9  143.9  160.5  145.1  23.1  21.1  29.6  
-105  120  132.3  143.1  160.0  145.1  22.3  19.1  27.7  
-90  120  133.8  141.3  157.3  144.2  19.8  14.2  23.6  
-75  120  135.5  139.6  153.8  143.0  16.2  7.9  18.3  
-60  120  137.0  139.1  150.4  142.2  12.3  1.6  13.4  
-165  135  127.7  143.4  148.3  139.8  12.7  14.0  20.5  
-150  135  128.0  144.3  153.2  141.8  17.0  17.8  25.2  
-135  135  128.5  144.9  157.0  143.5  20.3  21.4  28.6  
-120  135  129.2  144.6  159.1  144.3  22.2  22.6  29.9  
-105  135  130.0  143.1  159.2  144.1  22.6  20.7  29.2  
-90  135  130.8  141.1  157.2  143.0  21.3  15.9  26.5  
-75  135  131.4  139.8  154.3  141.8  18.7  9.7  22.9  
-60  135  132.2  139.9  151.3  141.1  15.2  3.5  19.1  
-165  150  126.2  144.3  149.3  139.9  14.0  16.5  23.1  
-150  150  126.2  145.8  153.4  141.8  17.4  20.6  27.2  
-135  150  126.3  146.2  157.1  143.2  20.8  24.4  30.7  
-120  150  126.5  145.4  159.3  143.7  23.3  25.8  32.8  
-105  150  126.7  143.7  159.6  143.3  24.4  24.2  33.0  
-90  150  126.9  141.8  158.0  142.2  23.6  19.8  31.1  
-75  150  127.4  140.5  155.3  141.1  21.3  13.7  27.9  
-60  150  128.7  140.2  152.4  140.5  17.9  7.5  23.7  
-165  165  124.8  145.6  150.9  140.4  15.8  19.0  26.2  
-150  165  124.2  147.0  154.4  141.9  18.8  23.6  30.2  
-135  165  123.8  147.2  157.9  143.0  22.4  27.9  34.2  
-120  165  123.4  146.4  160.1  143.3  25.2  29.8  36.7  
-105  165  123.2  144.8  160.4  142.8  26.4  28.6  37.2  
-90  165  123.5  143.0  158.8  141.8  25.5  24.4  35.3  
-75  165  124.6  141.5  156.1  140.7  23.0  18.5  31.4  
-60  165  127.1  140.3  153.4  140.3  19.6  12.1  26.3  
-165  180  123.5  146.8  151.8  140.7  16.6  20.9  28.3  
-150  180  122.3  147.9  155.3  141.8  20.2  26.3  33.0  
-135  180  121.3  148.0  158.7  142.7  24.1  31.1  37.4  
-120  180  120.7  147.3  160.8  142.9  26.8  33.3  40.1  
-105  180  120.7  146.0  161.0  142.5  27.7  32.3  40.3  
-90  180  121.4  144.3  159.1  141.6  26.2  28.1  37.7  
-75  180  123.5  142.6  156.2  140.8  23.2  22.2  32.7  
-60  180  127.1  140.8  153.5  140.5  19.6  15.7  26.5  
-165  -165  122.7  147.2  152.5  140.8  17.6  22.0  29.8  
-150  -165  120.9  147.8  156.3  141.7  22.0  27.9  35.4  
-135  -165  119.7  148.0  159.8  142.5  26.0  32.9  40.1  
-120  -165  119.3  147.6  161.7  142.9  28.3  35.1  42.4  
-105  -165  119.8  146.6  161.6  142.7  28.4  34.0  41.8  
-90  -165  121.3  145.3  159.2  141.9  25.9  29.8  37.9  
-75  -165  124.1  143.9  155.8  141.3  21.8  23.7  31.7  
-60  -165  128.2  142.1  152.8  141.0  17.7  17.3  24.6  

##phi   psi  a1     a2     a3     b1    b2     b3    g1    g2    g3  
#-165  -90  153.6  94.2  116.0  69.3  156.1  78.6  51.0  63.0  129.1  
#-150  -90  159.4  87.3  110.4  75.7  162.5  80.0  51.7  68.5  133.9  
#-135  -90  162.6  99.8  104.3  82.1  12.1  80.8  54.4  106.3  139.7  
#-120  -90  158.1  110.2  98.2  91.6  9.0  81.2  57.5  100.2  145.5  
#-105  -90  44.3  134.2  87.5  65.5  26.3  98.9  118.8  88.8  28.8  
#-90  -90  72.4  162.2  92.6  38.9  52.6  99.3  111.0  79.7  23.6  
#-75  -90  95.6  9.2  97.3  151.3  116.7  99.8  74.4  100.1  18.7  
#-7.0000000e+01  -9.0000000e+01   1.3401737e+02 1.4155064e+02 1.5382053e+02
#-60  -90  89.9  10.7  100.7  155.1  112.0  100.9  78.1  98.2  14.6  
#-165  -75  50.5  51.2  116.8  143.9  59.7  72.3  106.8  133.9  131.3  
#-150  -75  138.9  123.4  111.0  41.0  126.7  74.4  71.2  52.3  136.3  
#-135  -75  149.3  116.5  104.3  47.3  133.8  75.6  70.2  59.8  142.6  
#-120  -75  112.0  156.6  97.6  137.5  50.8  76.2  65.6  72.3  149.2  
#-105  -75  75.6  165.5  88.9  36.7  56.8  103.8  107.9  74.3  24.2  
#-90  -75  80.8  169.5  95.0  33.7  60.1  104.1  102.9  78.2  17.7  
#-75  -75  94.7  12.8  101.9  148.0  117.9  104.3  81.6  96.2  10.5  
#-7.0000000e+01  -7.5000000e+01   1.3006998e+02 1.4242831e+02 1.5308770e+02
#-60  -75  90.7  22.5  112.5  148.8  117.9  102.9  85.8  86.2  5.7  
#-165  -60  54.3  133.9  115.0  144.3  115.9  67.1  107.1  49.9  134.9  
#-150  -60  131.2  132.3  70.3  35.6  117.9  110.2  74.1  53.9  40.5  
#-135  -60  130.9  136.2  102.9  31.4  114.2  71.2  78.8  58.4  146.0  
#-120  -60  102.0  166.6  95.9  19.3  83.6  71.9  95.4  63.6  153.0  
#-105  -60  96.6  173.3  89.1  147.4  63.9  71.9  79.7  73.3  160.2  
#-90  -60  82.6  169.2  97.8  35.6  60.6  108.2  96.9  79.9  12.3  
#-75  -60  95.1  16.7  105.9  143.4  120.8  107.8  87.5  92.6  3.6  
#-7.0000000e+01  -6.0000000e+01   1.2689070e+02 1.4132501e+02 1.5314256e+02
#-60  -60  91.7  28.2  118.1  142.8  123.1  105.0  92.0  80.6  9.6  
#-165  -45  46.3  128.1  112.1  136.1  122.2  63.7  114.0  58.6  138.6  
#-150  -45  39.7  124.1  107.9  135.0  125.9  66.8  112.7  61.6  142.2  
