M	HB2	1HB	HB1	
M	HB3	2HB	HB2	
M	HG2	1HG	HG1	
M	HG3	2HG	HG2	
M	HE1	1HE	HE1	
M	HE2	2HE	HE2	
M	HE3	3HE	HE3	
M	C	C	C	
M	CA	CA	CA	
M	CB	CB	CB	
M	CG	CG	CG	
M	CE	CE	CE	
M	N	N	N	
M	O	O	O	
M	SD	SD	SD	
				
F	H	H	HN	
F	HA	HA	HA	
F	HB2	1HB	HB1	
F	HB3	2HB	HB2	
F	HD1	HD1	HD1	
F	HD2	HD2	HD2	
F	HE1	HE1	HE1	
F	HE2	HE2	HE2	
F	HZ	HZ	HZ	
F	C	C	C	
F	CA	CA	CA	
F	CB	CB	CB	
F	CG	CG	CG	
F	CD1	CD1	CD1	
F	CD2	CD2	CD2	
F	CE1	CE1	CE1	
F	CE2	CE2	CE2	
F	CZ	CZ	CZ	
F	N	N	N	
F	O	O	O	
				
P	H2	H2	H2	
P	H3	H1	H1	
P	HA	HA	HA	
P	HB2	1HB	HB1	
P	HB3	2HB	HB2	
P	HG2	1HG	HG1	
P	HG3	2HG	HG2	
P	HD2	1HD	HD1	
P	HD3	2HD	HD2	
P	C	C	C	
P	CA	CA	CA	
P	CB	CB	CB	
P	CG	CG	CG	
P	CD	CD	CD	
P	N	N	N	
P	O	O	O	
				
S	H	H	HN	
S	HA	HA	HA	
S	HB2	1HB	HB1	
S	HB3	2HB	HB2	
S	HG	HG	HG1	check pdb
S	C	C	C	
S	CA	CA	CA	
S	CB	CB	CB	
S	N	N	N	
S	O	O	O	
S	OG	OG	OG	
				
T	H	H	HN	
T	HA	HA	HA	
T	HB	HB	HB	
T	HG1	HG1	HG1	
T	HG21	1HG2	HG21	
T	HG22	2HG2	HG22	
T	HG23	3HG2	HG23	
T	C	C	C	
T	CA	CA	CA	
T	CB	CB	CB	
T	CG2	CG2	CG2	
T	N	N	N	
T	O	O	O	
T	OG1	OG1	OG1	
				
W	H	H	HN	
W	HA	HA	HA	
W	HB2	1HB	HB1	
W	HB3	2HB	HB2	
W	HD1	HD1	HD1	
W	HE1	HE1	HE1	
W	HE3	HE3	HE3	
W	HZ2	HZ2	HZ2	
W	HZ3	HZ3	HZ3	
W	HH2	HH2	HH2	
W	C	C	C	
W	CA	CA	CA	
W	CB	CB	CB	
W	CG	CG	CG	
W	CD1	CD1	CD1	
W	CD2	CD2	CD2	
W	CE2	CE2	CE2	
W	CE3	CE3	CE3	
W	CZ2	CZ2	CZ2	
W	CZ3	CZ3	CZ3	
W	CH2	CH2	CH2	
W	N	N	N	
W	NE1	NE1	NE1	
W	O	O	O	
				
Y	H	H	HN	
Y	HA	HA	HA	
Y	HB2	1HB	HB1	
Y	HB3	2HB	HB2	
Y	HD1	HD1	HD1	
Y	HD2	HD2	HD2	
Y	HE1	HE1	HE1	
Y	HE2	HE2	HE2	
Y	HH	HH	HH	
Y	C	C	C	
Y	CA	CA	CA	
Y	CB	CB	CB	
Y	CG	CG	CG	
Y	CD1	CD1	CD1	
Y	CD2	CD2	CD2	
Y	CE1	CE1	CE1	
Y	CE2	CE2	CE2	
Y	CZ	CZ	CZ	
Y	N	N	N	
Y	O	O	O	
Y	OH	OH	OH	
				
V	H	H	HN	
V	HA	HA	HA	
V	HB	HB	HB	
V	HG11	1HG1	HG11	
V	HG12	2HG1	HG12	
V	HG13	3HG1	HG13	
V	HG21	1HG2	HG21	
V	HG22	2HG2	HG22	
V	HG23	3HG2	HG23	
V	C	C	C	
V	CA	CA	CA	
V	CB	CB	CB	
V	CG1	CG1	CG1	
V	CG2	CG2	CG2	
V	N	N	N	
V	O	O	O	
