VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  1.0293 -0.6168 -0.5185 -0.5484 -0.5506 -0.2659 -0.8070 -0.1931 -1.4211 -0.4635  0.6621  0.2295 -1.1476  0.5626 -0.4440  0.2349 -0.0464 -0.5789 -0.4168  0.9576  0.2105
 -0.6582 -0.5076  0.0091 -0.7640  0.6673 -0.2568 -0.2523 -1.1653 -0.1306  1.4425 -0.4159 -0.1969  0.6454  0.0556 -0.2580 -0.4274  0.4018  1.0786 -0.0812  0.0178 -1.0858
 -0.0134  0.1359 -0.9997 -0.4181  1.1575 -0.0039  1.3765  0.1650  0.1818 -0.7580  0.4297  0.1043 -0.2859  0.2737  0.2822 -0.6342  0.3291  0.3786  0.2226  0.1650  1.2132
