VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.9804 -1.0212 -0.5483 -0.9109  0.7907  1.1370 -0.8608  1.1772 -1.1829 -1.2711  1.5135 -0.5465 -0.6304  0.7409 -1.9294  0.3586 -1.0509 -0.7229  1.4484  1.2813  1.2888
 -1.0902 -0.9015 -1.0116 -1.9296  0.7726 -1.4493 -1.0831 -1.1950 -1.1117  0.2777 -0.5564  0.5267  1.1332  0.2296 -1.0684 -0.3837  1.2736  0.7270  0.2392 -0.7695 -2.4715
 -0.1089  0.2394 -1.4520 -0.0734  2.0739  0.2979 -1.1250 -0.4613 -1.3708 -0.8430 -1.6133 -0.8426  0.1407 -0.1373  1.2970 -2.2272  0.5285  0.1856 -1.0659  1.1728  2.0201
