VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.9683 -0.3986 -1.4100 -0.8557 -0.0123 -0.6296 -1.5174 -0.2135 -0.9676 -1.4830  1.2546  0.1141 -0.5731  0.7826 -0.5937  0.8128  0.6421 -0.4624  1.4146  0.9931  0.7729
 -0.8935 -1.7528 -1.5326 -0.8544  0.7501 -0.6244 -0.4903 -1.0799 -0.4793  1.5693  0.4475 -0.3285  0.8314  0.5455 -0.6666 -0.9235  0.3913  1.2226  0.1677 -0.6246 -1.4257
 -0.0295  0.2107 -0.9686 -0.3983  1.8867  0.2313  1.3161 -0.0807 -1.6073 -0.8725 -0.0688  0.1392 -0.0088  0.0197  0.3566 -0.7128  0.4064  0.0764  0.5892  0.7542  1.9972
