VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.9822 -0.2782 -0.4463 -0.6771 -0.6351  1.5654 -0.8095  0.7121 -0.9966 -0.2896  0.3104 -0.6754 -0.9308  0.5159 -0.9965  0.2189 -0.5996 -0.7827  0.3504  0.9063  0.9064
 -0.8070 -0.5624 -1.2814 -1.2195 -0.9717 -1.3583 -0.1676  0.2490 -0.3147 -0.1519 -0.3543 -0.3742 -1.1254  0.2358  0.0048 -0.0314  0.1870  0.7566  0.1089 -0.2965 -0.8867
 -0.0387  0.0945 -0.9206 -0.3765  0.3791 -0.1141 -0.8188 -0.0315  1.6563 -0.8123  0.1228 -0.5944 -0.3219  0.2478  0.6232 -0.7554  0.3670  0.4942 -2.4899  0.1332  0.9872
