K	HZ3	3HZ	HZ3	3HZ
K	C	C	C	C
K	CA	CA	CA	CA
K	CB	CB	CB	CB
K	CG	CG	CG	CG
K	CD	CD	CD	CD
K	CE	CE	CE	CE
K	N	N	N	N
K	NZ	NZ	NZ	NZ
K	O	O	O	O
				
M	H	H	H	H
M	HA	HA	HA	HA
M	HB2	1HB	HB1	2HB
M	HB3	2HB	HB2	3HB
M	HG2	1HG	HG1	2HG
M	HG3	2HG	HG2	3HG
M	HE1	1HE	HE1	1HE
M	HE2	2HE	HE2	2HE
M	HE3	3HE	HE3	3HE
M	C	C	C	C
M	CA	CA	CA	CA
M	CB	CB	CB	CB
M	CG	CG	CG	CG
M	CE	CE	CE	CE
M	N	N	N	N
M	O	O	O	O
M	SD	SD	SD	SD
				
F	H	H	H	H
F	HA	HA	HA	HA
F	HB2	1HB	HB1	2HB
F	HB3	2HB	HB2	3HB
F	HD1	HD1	HD1	HD1
F	HD2	HD2	HD2	HD2
F	HE1	HE1	HE1	HE1
F	HE2	HE2	HE2	HE2
F	HZ	HZ	HZ	HZ
F	C	C	C	C
F	CA	CA	CA	CA
F	CB	CB	CB	CB
F	CG	CG	CG	CG
F	CD1	CD1	CD1	CD1
F	CD2	CD2	CD2	CD2
F	CE1	CE1	CE1	CE1
F	CE2	CE2	CE2	CE2
F	CZ	CZ	CZ	CZ
F	N	N	N	N
F	O	O	O	O
				
P	H2	H2	H2	H2
P	H3	H1	H1	H3
P	HA	HA	HA	HA
P	HB2	1HB	HB1	2HB
P	HB3	2HB	HB2	3HB
P	HG2	1HG	HG1	2HG
P	HG3	2HG	HG2	3HG
P	HD2	1HD	HD1	2HD
P	HD3	2HD	HD2	3HD
P	C	C	C	C
P	CA	CA	CA	CA
P	CB	CB	CB	CB
P	CG	CG	CG	CG
P	CD	CD	CD	CD
P	N	N	N	N
P	O	O	O	O
				
S	H	H	H	H
S	HA	HA	HA	HA
S	HB2	1HB	HB1	2HB
S	HB3	2HB	HB2	3HB
S	HG	HG	HG1	HG
S	C	C	C	C
S	CA	CA	CA	CA
S	CB	CB	CB	CB
S	N	N	N	N
S	O	O	O	O
S	OG	OG	OG	OG
				
T	H	H	H	H
T	HA	HA	HA	HA
T	HB	HB	HB	HB
T	HG1	HG1	HG1	HG1
T	HG21	1HG2	1HG2	1HG2
T	HG22	2HG2	2HG2	2HG2
T	HG23	3HG2	3HG2	3HG2
T	C	C	C	C
T	CA	CA	CA	CA
T	CB	CB	CB	CB
T	CG2	CG2	CG2	CG2
T	N	N	N	N
T	O	O	O	O
T	OG1	OG1	OG1	OG1
				
W	H	H	H	H
W	HA	HA	HA	HA
W	HB2	1HB	HB1	2HB
W	HB3	2HB	HB2	3HB
W	HD1	HD1	HD1	HD1
W	HE1	HE1	HE1	HE1
W	HE3	HE3	HE3	HE3
W	HZ2	HZ2	HZ2	HZ2
W	HZ3	HZ3	HZ3	HZ3
W	HH2	HH2	HH2	HH2
W	C	C	C	C
W	CA	CA	CA	CA
W	CB	CB	CB	CB
W	CG	CG	CG	CG
W	CD1	CD1	CD1	CD1
W	CD2	CD2	CD2	CD2
W	CE2	CE2	CE2	CE2
W	CE3	CE3	CE3	CE3
W	CZ2	CZ2	CZ2	CZ2
W	CZ3	CZ3	CZ3	CZ3
W	CH2	CH2	CH2	CH2
W	N	N	N	N
W	NE1	NE1	NE1	NE1
W	O	O	O	O
				
Y	H	H	H	H
Y	HA	HA	HA	HA
Y	HB2	1HB	HB1	2HB
Y	HB3	2HB	HB2	3HB
Y	HD1	HD1	HD1	HD1
Y	HD2	HD2	HD2	HD2
Y	HE1	HE1	HE1	HE1
Y	HE2	HE2	HE2	HE2
Y	HH	HH	HH	HH
Y	C	C	C	C
Y	CA	CA	CA	CA
Y	CB	CB	CB	CB
Y	CG	CG	CG	CG
Y	CD1	CD1	CD1	CD1
Y	CD2	CD2	CD2	CD2
Y	CE1	CE1	CE1	CE1
Y	CE2	CE2	CE2	CE2
Y	CZ	CZ	CZ	CZ
Y	N	N	N	N
Y	O	O	O	O
Y	OH	OH	OH	OH
				
V	H	H	H	H
V	HA	HA	HA	HA
V	HB	HB	HB	HB
V	HG11	1HG1	1HG1	1HG1
V	HG12	2HG1	2HG1	2HG1
V	HG13	3HG1	3HG1	3HG1
V	HG21	1HG2	1HG2	1HG2
V	HG22	2HG2	2HG2	2HG2
V	HG23	3HG2	3HG2	3HG2
V	C	C	C	C
V	CA	CA	CA	CA
V	CB	CB	CB	CB
V	CG1	CG1	CG1	CG1
V	CG2	CG2	CG2	CG2
V	N	N	N	N
V	O	O	O	O
