"L","EGlob","CCLosed","ELocClosed","Copen","ELocOpen","Circuit_rank","Dia","Mean_path_length","Coverage","time","mean_deg","var_deg","avg_deg","mean_fragsize","var_fragsize","avg_fragsize","Maximalcliques","label"
1,1,1,1,1,1,21,1,0.875,0.87962962962963,"1x1 struct",551.454234388366,91.1115219320111,551.454234388366,86.9439692044483,13.5730890924606,86.9439692044483,1,0.254716981132075
1.10714285714286,0.946428571428571,0.946428571428572,0.973214285714286,0.928571428571429,0.964285714285714,18,2,0.96875,0.87962962962963,"1x1 struct",183.839897260274,150.463651724513,183.839897260274,53.0500856164384,45.1504053167307,53.0500856164384,2,0.188679245283019
1.0952380952381,0.952380952380952,0.945578231292517,0.972789115646259,0.923809523809524,0.961904761904762,13,2,0.938775510204082,0.87962962962963,"1x1 struct",187.119638274471,148.208234928275,187.119638274471,57.9738482219235,47.5883902588478,57.9738482219235,2,0.273584905660377
1.10666666666667,0.946666666666667,0.942064921196271,0.971032460598136,0.936787692706928,0.968393846353464,244,2,1.0624,0.989795918367347,"1x1 struct",481.029766693483,230.580923823151,481.029766693483,41.9983909895414,19.578596351962,41.9983909895414,5,0.239583333333333
1.25641025641026,0.871794871794872,0.911513273051735,0.955756636525867,0.893084693084693,0.946542346542346,46,2,1.15976331360947,0.826530612244898,"1x1 struct",64.6281696143192,25.0087293828169,64.6281696143192,23.3645855529512,9.44542396716002,23.3645855529512,4,0.208333333333333
1.21428571428571,0.892857142857143,0.973214285714286,0.986607142857143,"NaN","NaN",15,2,1.0625,0.469387755102041,"1x1 struct",60.8035714285714,24.7789057283854,60.8035714285714,30.2901785714286,8.99158250477819,30.2901785714286,2,0.354166666666667
1.275,0.868055555555556,0.904641192141192,0.952320596070596,0.888650238650239,0.944325119325119,74,3,1.1953125,0.918367346938776,"1x1 struct",161.798245614035,99.7898067949137,161.798245614035,31.4364035087719,17.0730954090708,31.4364035087719,5,0.197916666666667
1.25757575757576,0.871212121212121,0.904058441558442,0.952029220779221,0.88231721981722,0.94115860990861,38,2,1.15277777777778,0.826530612244898,"1x1 struct",68.3402585410896,33.2919899910909,68.3402585410896,25.3520313942752,9.61239421163392,25.3520313942752,4,0.229166666666667
1.12820512820513,0.935897435897436,0.962255693024924,0.981127846512462,0.955244755244755,0.977622377622378,56,2,1.0414201183432,0.979591836734694,"1x1 struct",429.52047952048,249.564300612575,429.52047952048,58.9972527472528,34.4646343688117,58.9972527472528,3,0.145833333333333
1.61111111111111,0.722222222222222,0.785185185185185,0.892592592592593,"NaN","NaN",9,3,1.4320987654321,0.673469387755102,"1x1 struct",22.7564102564103,12.8349965762242,22.7564102564103,19.4310897435897,5.56011226260595,19.4310897435897,5,0.302083333333333
1.52380952380952,0.757142857142857,0.868533688533688,0.934266844266844,"NaN","NaN",42,3,1.42222222222222,0.887755102040816,"1x1 struct",59.8424242424243,27.9613594623559,59.8424242424243,20.7454545454545,7.71826824481615,20.7454545454545,7,0.28125
1,1,1,1,1,1,6,1,0.8,0.294871794871795,"1x1 struct",136.778523489933,37.5865890691394,136.778523489933,57.4496644295302,12.4961144359588,57.4496644295302,1,0.460526315789474
1.33333333333333,0.833333333333333,0.916666666666667,0.958333333333333,"NaN","NaN",1,2,1,0.166666666666667,"1x1 struct",69.2622950819672,45.2691098314949,69.2622950819672,48.8729508196721,9.53180952472044,48.8729508196721,2,0.5
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,3,1,0.75,0.243589743589744,"1x1 struct",80.9045226130653,37.6202621710926,80.9045226130653,52.1356783919598,9.48471662722456,52.1356783919598,1,0.631578947368421
1.33333333333333,0.833333333333333,0.916666666666667,0.958333333333333,"NaN","NaN",1,2,1,0.166666666666667,"1x1 struct",69.2622950819672,45.2691098314949,69.2622950819672,48.8729508196721,9.53180952472044,48.8729508196721,2,0.473684210526316
1.68131868131868,0.728021978021978,0.82444856730571,0.912224283652855,"NaN","NaN",34,4,1.56122448979592,0.807692307692308,"1x1 struct",65.1235101053723,38.436137842522,65.1235101053723,22.6032129901537,8.92150221550853,22.6032129901537,8,0.342105263157895
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1.33333333333333,0.833333333333333,0.916666666666667,0.958333333333333,"NaN","NaN",1,2,1,0.243589743589744,"1x1 struct",62.9310344827586,43.4055505125698,62.9310344827586,48.8146551724138,23.0415381470579,48.8146551724138,2,0.447368421052632
1,1,1,1,1,1,45,1,0.909090909090909,0.759615384615385,"1x1 struct",435.756348914244,222.850876359491,435.756348914244,62.0721383879279,31.6554174719005,62.0721383879279,1,0.352941176470588
1,1,1,1,1,1,21,1,0.875,0.625,"1x1 struct",251.012965964344,140.526269410195,251.012965964344,59.967585089141,34.4046089174869,59.967585089141,1,0.333333333333333
1,1,1,1,1,1,3,1,0.75,0.403846153846154,"1x1 struct",137.397540983607,80.9426229508197,137.397540983607,69.4672131147541,35.9345452662461,69.4672131147541,1,0.42156862745098
1,1,1,1,1,1,21,1,0.875,0.653846153846154,"1x1 struct",358.600237247924,163.913347917287,358.600237247924,69.0243179122183,33.9245236717033,69.0243179122183,1,0.274509803921569
1,1,1,1,1,1,21,1,0.875,0.625,"1x1 struct",251.012965964344,140.526269410195,251.012965964344,59.967585089141,34.4046089174869,59.967585089141,1,0.254901960784314
1,1,1,1,1,1,21,1,0.875,0.826923076923077,"1x1 struct",429.262144821265,168.603628433703,429.262144821265,74.9427131072411,27.3417925924964,74.9427131072411,1,0.284313725490196
1,1,1,1,1,1,1,1,0.666666666666667,0.269230769230769,"1x1 struct",112.121212121212,2.62431940540739,112.121212121212,71.2121212121212,17.7277880774401,71.2121212121212,1,0.558823529411765
1.31111111111111,0.844444444444444,0.897777777777778,0.948888888888889,0.863968253968254,0.930132275132275,22,2,1.18,0.625,"1x1 struct",249.455864570738,154.40162732252,249.455864570738,49.093107617896,27.106058086013,49.093107617896,3,0.303921568627451
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1.38947368421053,0.810526315789474,0.834893250024829,0.917446625012415,0.806866181204417,0.903353725522843,100,3,1.32,0.903508771929825,"1x1 struct",104.823529411765,65.0634620394234,104.823529411765,23.3019607843137,12.7909825781428,23.3019607843137,12,0.107142857142857
2.21818181818182,0.576969696969697,0.837662337662338,0.918831168831169,"NaN","NaN",6,5,2.01652892561983,0.578947368421053,"1x1 struct",20.3190068358608,8.40043733657674,20.3190068358608,17.5610905947985,4.92620329475123,17.5610905947985,7,0.223214285714286
1.33333333333333,0.833333333333333,0.888888888888889,0.944444444444445,"NaN","NaN",0,2,0.888888888888889,0.12280701754386,"1x1 struct",29.4573643410853,21.1418032059214,29.4573643410853,48.062015503876,8.14645331666035,48.062015503876,2,0.5625
2.00653594771242,0.634858387799564,0.812781662781663,0.906390831390831,"NaN","NaN",40,5,1.89506172839506,0.87719298245614,"1x1 struct",28.4630847953216,19.6846674139158,28.4630847953216,13.4914108187135,4.69707791220499,13.4914108187135,11,0.491071428571429
2.44871794871795,0.545940170940171,0.793406593406594,0.896703296703297,"NaN","NaN",9,6,2.2603550295858,0.692982456140351,"1x1 struct",20.2915895985203,6.36776755109046,20.2915895985203,15.8851049940159,4.53661005548368,15.8851049940159,9,0.214285714285714
