VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.4673 -1.2718 -1.2349 -1.1479  0.6016  1.4989  0.9168 -0.8238  2.3007  1.2343 -1.4868 -0.9334  1.5301  1.3210 -1.7666  2.4320
 -0.5909 -1.3609 -0.9606 -1.4294  1.0280  1.1617  0.6438 -0.7468  1.8843  1.2318 -1.3133 -0.7811  1.0799  0.9833 -2.4838  2.1521
 -0.7526 -1.6294 -1.1934 -1.3116  0.9478  1.3293  0.5794 -0.9796  1.7920  1.6857 -1.1542 -1.2682  1.1965  0.8558 -2.1509  2.0021
