VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.9027 -1.3243 -0.7066 -0.4826  1.1707  0.9173  1.5844 -0.8359  1.6978  1.3254 -1.2673 -1.2658  1.2644 -1.3934 -0.9592  2.0432
 -0.8741 -0.9802 -0.5215 -0.5074  1.5272  1.3552  1.8107 -0.7475  2.1790  1.6554 -0.7825 -0.9527  0.7330 -1.2582 -1.2921  2.4476
 -0.8417 -1.2045 -0.4492 -0.5361  1.0719  1.7354  1.5553 -1.1946  1.1302  1.3491 -1.1822 -1.2783  1.1301 -1.1340 -0.9229  1.9590
