VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.4784 -1.2853 -1.2171 -1.1325  0.1792  0.9388  0.6107 -0.6261  0.5095  0.4844 -0.7609 -0.3223  0.2007  0.5781 -0.0778  0.7586
 -0.0081 -1.1418  0.1708 -1.0295 -0.3026 -0.7508 -0.7628 -0.0786  1.0024  0.9317 -1.5116 -0.2548  0.6745 -1.0340 -0.3687  0.3334
  0.4711 -0.8332  1.0661 -0.0446 -0.7449  0.6067  0.6463  0.0204  0.0677  0.4106 -0.2083  1.1334  1.3993 -0.7640  0.4508  0.4641
