VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.6190 -0.8357 -0.8697 -0.9040  0.9315  0.8607  0.4594 -0.5393  1.2099  0.9767 -1.3806 -0.4099 -0.5550  0.6109 -1.0056  0.9940
 -0.3531 -1.1879 -0.1597 -0.8171 -0.5745 -0.5869 -0.9610  0.9400  1.4398  1.0088 -1.3407  0.7403  0.6585 -0.9721 -0.4663  0.9235
  0.3367 -1.2431 -1.8669  0.1722 -1.0758  0.0778  0.8753  0.6900  1.0566 -0.6207 -0.4569 -0.8483 -0.8004  1.5294  0.7485  0.1668
