VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.6768  0.1560 -1.7956 -1.4530  0.5292  2.0636  0.2401 -0.7741  0.6610  1.4133 -0.3590 -1.1118  1.3991 -1.1436 -0.3085  0.2664
 -0.5066 -0.6905 -0.3712 -0.8966 -0.1870 -1.1372 -1.2426 -0.2423  0.4060  1.8053 -0.9750  1.3806 -0.6123 -1.6819 -0.4832  0.8560
  0.5028 -0.8625  2.5636  0.2178 -0.6669 -0.1650  0.5690 -0.1036 -0.2068  0.1731  0.1908 -0.6845 -1.0613 -1.7857  2.9848  0.3085
