VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.1122  1.1194  0.9233 -0.8111 -0.6664  0.5183 -0.1193  0.0447 -0.8491  0.1449  0.2264 -0.0182  0.0678 -0.0469  0.1082  0.5534 -0.7670  0.1183 -0.4515 -0.0090  0.0571 -0.3684 -0.4264 -0.2233  0.2631 -0.2835  0.2424  0.1174 -0.0098  0.0307  0.0601  0.1602  0.4917  0.3927  2.0556  0.5907 -0.2322  0.0382 -0.0710  0.1591 -0.0262  0.2272 -0.0541  0.0599 -0.0766  0.3080  0.0114  0.0239  0.1524 -0.0224 -0.0404
 -0.8242  1.0597  1.6795 -0.0949  0.5116  0.5287  0.0071  0.0436 -0.9456  0.5967 -0.0351  0.0769  0.2381  0.0446  0.1798  0.6166  2.1686  1.0311 -0.3127 -0.2805 -0.5484 -0.0848  0.1593  0.3979  0.3725 -0.3165  0.1534  0.0253 -0.1835  0.0433  0.3020  1.4342  0.6862  0.6336 -1.6442 -0.7369 -0.1586 -0.3670 -0.1641 -0.2192 -0.1466  0.0560  0.1658  0.0982 -0.0088 -0.3110 -0.0622 -0.0212  0.0792 -0.0137  0.0127
  1.0545 -0.2171 -1.8139  0.7622  1.4570 -0.0330  0.2482 -0.9240  0.3753 -0.3795 -0.3170  0.2952  0.4093 -0.1021  0.0556 -0.5290 -1.3635 -0.9437 -0.4849  1.6290 -0.2530  0.0285  0.0679  0.0587 -0.0922 -0.0463 -0.0643  1.0282 -0.2318  0.1051 -0.2313 -2.0859  1.5250  0.0321  0.5168  0.0241 -0.5312  0.1118  0.0927 -0.3861 -0.2107  0.0543 -0.2830 -0.0388 -0.0252 -0.3709 -0.2263  0.0095  0.0964  0.0209  0.0755
  1.8275 -1.1972  0.9425 -0.1864  1.2577  0.1043  0.6512  0.1627 -0.1007 -0.1375 -0.0368  0.3211  0.0986  0.0385 -0.0424 -0.3748  1.1562 -0.9811 -0.1882 -1.2250  0.2177  0.5103 -0.0105  0.4851  0.0009  0.3118 -0.0110 -0.6153 -0.0678 -0.2295  0.0456  1.3045  0.7958  0.3511 -1.7788  0.4833  0.0877 -0.4474 -0.1717 -0.1696  0.1640  0.1390 -0.6316  0.0503 -0.1536 -0.1182  0.2056 -0.0622  0.3943 -0.0060  0.1693
 -1.0932 -0.1169 -1.1134  0.0464  1.0173 -0.6287 -0.4273  0.5557  0.3912  0.1336  0.1161 -0.3131  0.4590  0.1155 -0.1780  0.4738 -2.5266 -0.6412  0.2221  1.6250 -1.1329  0.0478  0.4207 -0.5944 -0.0757  0.1301 -0.3816  0.3345 -0.1002  0.0255  0.5712 -0.9510 -0.7678  0.3041 -1.6189 -0.6212 -0.0408 -0.0546 -0.0971 -0.1591  0.0274  0.3006  0.1239 -0.0697  0.0180 -0.2168  0.1498 -0.1045  0.1026 -0.0503 -0.2279
  1.7954 -1.3724 -0.5067 -0.0497 -0.2360  0.9371 -0.0469 -0.1100  0.8714 -0.1237 -0.5838  0.2061  0.1805 -0.1060  0.1023 -0.7009  0.8519 -0.2631  0.1509 -1.8180 -0.8842  0.3567 -0.1643  0.0246  0.7817 -0.2023 -0.1172 -0.1512 -0.0150 -0.0130 -0.4410 -1.2877 -0.0190  0.0186 -1.7301  0.2072 -0.0977  0.1556  0.0912 -0.2651 -0.1575  0.0095 -0.0807  0.0869 -0.1392 -0.2374  0.0504 -0.0468  0.0231 -0.0118  0.2398
  0.3394  2.0906 -1.2308 -0.7585  1.1134  0.0507 -0.3329  0.2674  0.0293 -0.0458  0.0990 -0.0466  0.4716  0.2153  0.3445  0.5014  0.4040  0.8884 -0.3220 -1.0767  1.3717 -0.3724  0.2122 -0.4673 -0.2330 -0.0016 -0.3945 -0.4921  0.0315  0.1066 -0.4682  1.9098 -1.0173  0.5904 -0.5574  0.0692  0.1848 -0.3278 -0.1391  0.4313  0.1486  0.0798 -0.0601 -0.1165  0.0583 -0.4861 -0.1548 -0.0791 -0.0957  0.0570  0.0417
 -1.2270  0.7560  1.6105 -0.1574  1.9676 -0.8965 -0.4747 -0.3387  0.4997  0.3579 -0.0515 -0.1427  0.4657 -0.0955  0.0608  0.1695 -0.7114  0.2423  0.9375  1.1735 -0.4006  0.3527 -0.0016 -0.5824 -0.0020  0.1544 -0.0115 -0.5332  0.0155 -0.0710  0.2732 -0.6355  0.9136  0.2906 -1.2443  0.1392 -0.3721  0.5060  0.1067  0.1061 -0.0856 -0.0614  0.0452 -0.0610 -0.0419 -0.1064 -0.0772  0.0832 -0.0772  0.0142  0.0891
 -0.4301  1.0527  2.1647  1.1396 -0.1603 -0.6156  0.0015 -0.0905  0.1934  0.1994  0.0126 -0.1003  0.5239  0.0998 -0.0469 -0.4977 -1.3516 -0.5092 -0.5556 -0.0768 -0.2007 -0.6555  0.6386  0.4272 -0.0581 -0.2636 -0.2404  0.5319  0.0637  0.1381  0.0046 -1.1882 -1.4243 -0.0250 -0.5453 -0.1773  0.2231  0.3963  0.2293 -0.1209  0.0204  0.0839 -0.4023  0.0535  0.0071  0.2829  0.0464  0.0558 -0.1246  0.0106 -0.1620
 -0.7959  1.2789  0.8594  1.1553 -0.9289 -0.9104 -0.4395 -0.3749 -0.2540 -0.0397 -0.3044  0.2413  0.1513 -0.1982  0.4601 -0.4136  1.0033  1.8069  0.1094  0.5339 -0.7433 -0.3220 -0.4714 -0.7611 -0.2238 -0.0302  0.3675  0.2880  0.1153 -0.1742 -0.4468 -1.9744  0.9179  0.1092 -1.0661 -0.6204  0.1805  0.3277  0.2671  0.2909 -0.0677  0.0857 -0.3735 -0.1523  0.1221  0.6440 -0.0253 -0.0206  0.0795 -0.0140 -0.0884
  1.1248 -0.4660  0.6902  0.3912  1.1439 -0.8093 -0.3545 -0.0391  0.0365  0.0946 -0.4041 -0.3730  0.1768 -0.0397 -0.1312 -0.0817 -1.4111  2.0900  0.1834 -0.0345 -1.0094 -0.0560  0.3269 -1.1762  0.0330 -0.3985  0.0603 -0.5040  0.1385 -0.1283 -0.2079  1.8184  1.1408  0.0913 -0.4096 -0.5118  0.2290  0.0685 -0.2045  0.2972 -0.0274  0.1067  0.1653  0.1951 -0.2725 -0.6486  0.0528  0.2247 -0.2647  0.1696  0.0867
 -0.0016 -0.6271  1.9692 -0.4353 -1.0644  0.1697 -0.1075 -0.1165  0.8517  0.5917  0.0652 -0.0788  0.7546 -0.0978  0.1248  0.0965 -0.1356  0.4586 -0.4571 -2.0876 -0.2178  0.1300 -0.1363 -0.2406 -0.1218 -0.4236  0.1361 -0.4768 -0.0440  0.0303  0.2514  0.9663  0.7193 -0.4104 -0.1859  0.8384 -0.0142  0.0362  0.1041 -0.0923 -0.1401  0.1552 -0.5231 -0.0637 -0.1611  0.4125  0.0794 -0.0086 -0.0043  0.1237  0.1587
