VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.6028  0.3682 -0.0626 -0.1502 -0.3076 -0.4310  0.3593  0.0243 -0.3250 -0.1991  0.0473  0.1761  0.1039  0.0804 -0.0103 -0.0210  0.1687  0.0370 -0.0997 -0.3485 -0.0256 -0.0711 -0.0036 -0.4949 -0.2832  0.1423 -0.0239 -0.3882 -0.0577  0.1623  0.0356  0.2778 -0.1884 -0.3784 -0.1522 -0.0933 -0.2023 -0.1667  0.1417 -0.1641  0.1969  0.2031 -0.2173  0.0606  0.2677 -0.0914  0.2891  0.2981  0.0652 -0.1185  0.1665
 -0.8164 -0.0374 -0.2986 -0.0083 -0.1474 -0.2861 -0.2802 -0.2426 -0.0014 -0.1391 -0.3662  0.0766 -0.2238  0.0603 -0.0375  0.0236  0.3082  0.1299  0.1338  0.2410 -0.0583  0.1941  0.0026  0.2118  0.3118 -0.2787 -0.2764  0.2058 -0.2113 -0.3078  0.2536 -0.3446  0.0577 -0.1224  0.1942  0.0007  0.0687  0.3288  0.2593  0.0870  0.3340 -0.1294 -0.2594  0.1971 -0.0326 -0.1184  0.2777  0.1970 -0.3089  0.2019 -0.2314
 -1.1063  0.0235  0.0154 -0.0526 -0.1552  0.2573  0.2549 -0.2599 -0.0661  0.3907  0.1783 -0.2546  0.2728 -0.1463  0.0054  0.0430  0.2770 -0.3942 -0.2869 -0.0144 -0.0744 -0.3312 -0.0080  0.0894 -0.1888  0.0105  0.1458  0.4019  0.2413 -0.3052 -0.0656 -0.3304 -0.2259  0.1045  0.0305 -0.1043  0.2082  0.3778  0.0932  0.4047  0.1179  0.0840  0.3666  0.2032  0.2889 -0.4146 -0.1130 -0.3242 -0.1159 -0.2367 -0.2850
  1.2649  0.0863  0.0521 -0.1191  0.0738  0.1204  0.1057 -0.3640 -0.1245 -0.1237 -0.1661  0.1713 -0.1976 -0.0093  0.0087 -0.2150  0.0905 -0.3221 -0.3460 -0.3706  0.0600 -0.2098  0.0857 -0.2711  0.0794 -0.2598  0.3099 -0.1821 -0.0643  0.0497 -0.0432 -0.0727  0.3824  0.3108  0.3219  0.3890  0.2853 -0.0791 -0.3035 -0.2299 -0.1945 -0.0397  0.0241 -0.1123  0.3923 -0.2834  0.1015 -0.1101 -0.0875 -0.1767  0.0535
 -1.3365 -0.3844  0.1824 -0.3943  0.2644 -0.2151  0.0152  0.3241  0.2738 -0.0126  0.0224 -0.1679 -0.4088  0.3007  0.0310 -0.3449  0.2141  0.2534  0.0409  0.1951 -0.4468  0.2912 -0.0448  0.1656  0.4497  0.0860 -0.0007  0.1772  0.2059 -0.0487 -0.1899  0.1598 -0.4180  0.0607 -0.2554  0.3211 -0.3131 -0.1658 -0.0613  0.0349  0.2622 -0.0865  0.0885  0.0392  0.5014 -0.2448  0.3979  0.2158 -0.3883  0.1303 -0.2917
 -1.5227  0.0628 -0.1329  0.1220  0.1581  0.2601  0.2312  0.1827 -0.1203  0.5243  0.1049 -0.1298 -0.2390 -0.3246  0.1817 -0.1044 -0.1059  0.1830 -0.3836  0.0352 -0.0659  0.1908 -0.0790 -0.0842  0.3721  0.4150 -0.2267  0.1746 -0.1261  0.0188 -0.0295 -0.0431 -0.0540 -0.0370  0.0965 -0.0089 -0.1466  0.1186 -0.3657 -0.0369  0.0217 -0.4515 -0.1380  0.1198 -0.2678  0.2478 -0.1447 -0.3244  0.4705  0.3351 -0.2848
  1.2456 -0.1818 -0.3081 -0.3034 -0.0402 -0.2633  0.0145 -0.0725 -0.2746 -0.2804  0.2391  0.2000  0.3269 -0.1782  0.1174 -0.1863  0.2104  0.1311  0.1983 -0.3249  0.2651 -0.0220 -0.0461 -0.2703  0.2015 -0.0838 -0.1480 -0.1577 -0.2024 -0.1844  0.1189  0.1909  0.1925  0.2853 -0.1611  0.0354 -0.2297 -0.1238  0.2473  0.2550 -0.3118  0.3122 -0.2320  0.2812  0.1850  0.0408 -0.2458 -0.0230 -0.2711 -0.1975 -0.0252
 -1.2061  0.3240 -0.2115  0.1195  0.1535 -0.0417  0.1817 -0.2530 -0.1851 -0.4654 -0.0812  0.0432  0.1593 -0.0119 -0.1658  0.1837  0.0229  0.0656  0.2900  0.1454 -0.3723 -0.0686  0.1251 -0.3666 -0.7924 -0.1336 -0.3315  0.2294 -0.1404  0.1666  0.0345  0.1961  0.1590  0.0042 -0.1831 -0.0388 -0.2872 -0.0876 -0.2332  0.2742  0.4453  0.0282 -0.3380 -0.2500  0.0487  0.5588  0.1287  0.3453  0.0272  0.0024  0.1134
  0.8357  0.0085  0.0895  0.3948  0.0621  0.0511  0.0655 -0.1828  0.1056  0.2451  0.0078 -0.3255 -0.2458 -0.1087 -0.2050 -0.3893  0.1510  0.3696 -0.2085 -0.2423  0.4357 -0.2423 -0.2782 -0.2394  0.2867 -0.2015 -0.0440 -0.2106 -0.2690 -0.2544 -0.1302 -0.0506 -0.2262  0.4542  0.1592  0.0786 -0.1450  0.0889 -0.4196  0.2697  0.1048 -0.0674  0.3232  0.0940 -0.3267 -0.0480  0.2636  0.2724 -0.1420 -0.1448 -0.0702
  0.5900 -0.1660  0.0486  0.2112 -0.2050  0.1752 -0.1734 -0.2277  0.1805 -0.1078  0.0714  0.5641  0.3804 -0.0968  0.0340  0.4763  0.2227  0.1522  0.0430  0.0551 -0.3260  0.4077 -0.2750 -0.5562  0.2336 -0.0322  0.1573 -0.4816 -0.2371  0.1086  0.5300  0.2644  0.8431  0.1964  0.0628 -0.2413  0.0843 -0.0411 -0.1865  0.4087 -0.2642  0.1099 -0.1741  0.0118 -0.0796  0.0331  0.3421  0.1885 -0.0720 -0.1712 -0.1170
  0.3362 -0.2964 -0.2236  0.1940 -0.1777 -0.0723 -0.0189 -0.0252  0.2094  0.2558 -0.2853 -0.3879  0.0532 -0.0811  0.3032 -0.0441  0.0065 -0.1732  0.1501 -0.1182  0.0944  0.0412 -0.0636 -0.2596  0.5567 -0.1414  0.1707  0.1887 -0.0828 -0.2717  0.0784  0.2343 -0.4214 -0.0832  0.1728 -0.0260 -0.3140  0.2429 -0.4553 -0.0498  0.2466 -0.5058  0.1830 -0.1200  0.0919  0.2516 -0.1648  0.0584 -0.1296 -0.3011  0.0259
 -0.1974  0.2047 -0.1625  0.0257  0.1695  0.2554  0.2592 -0.3882  0.1582 -0.3500 -0.3139  0.0136 -0.0812 -0.2524  0.1651  0.1883  0.0977 -0.4215  0.1094 -0.2317  0.0423  0.1270  0.1158  0.0864  0.0649 -0.1007 -0.1365  0.1844  0.1735  0.2815  0.2395  0.0182 -0.2997 -0.0247  0.3364 -0.1507  0.3191  0.1327  0.3295  0.3024  0.0372  0.1371  0.2440 -0.2369  0.3207  0.2631  0.0656  0.1225  0.0221  0.1431 -0.1746
  0.0114  0.1020  0.1862  0.0042  0.0039  0.0431  0.4287  0.2842  0.1600  0.2091 -0.0344  0.0756 -0.0720 -0.1777 -0.0898 -0.0576  0.2178  0.0948  0.1238 -0.0446 -0.1408  0.3225 -0.4840 -0.0574 -0.1714  0.3695  0.2571 -0.2645  0.0152  0.0447 -0.0406 -0.1968 -0.2548  0.1595  0.1394 -0.0794 -0.3284  0.3034  0.0677  0.0045 -0.3839  0.2080 -0.0405 -0.2118 -0.5290 -0.2673  0.0963 -0.3248  0.1492 -0.3536  0.0937
  0.2494  0.0372 -0.0435 -0.1188 -0.1677  0.1799  0.2891 -0.3739  0.2093 -0.0008  0.0427 -0.5144  0.1456  0.2150  0.1309 -0.1233 -0.3409  0.5239  0.0802  0.3544 -0.0241 -0.3406  0.0803  0.0543 -0.1361 -0.0488  0.1687  0.0019 -0.2255  0.1152  0.4844 -0.1013  0.2415  0.1933  0.1148  0.2469 -0.0393 -0.3091  0.0112  0.2120 -0.0401  0.0615  0.2106  0.1332  0.2938 -0.2830 -0.1791 -0.0605 -0.0881 -0.0908 -0.2358
 -0.0869 -0.1247  0.2663 -0.4490  0.1732  0.1335  0.1988  0.3648 -0.0227 -0.6260 -0.0424  0.0599 -0.1479  0.0910 -0.2170  0.6972 -0.3546  0.5807  0.3124  0.3510  0.5002  0.1244 -0.0238  0.1358 -0.2626 -0.1147  0.1533  0.0969 -0.4544 -0.3410 -0.1192 -0.0244  0.2216  0.3899 -0.0034 -0.2188 -0.3269 -0.2407  0.0887 -0.0249 -0.2462 -0.1243  0.0864 -0.4679  0.1335 -0.6361 -0.3261  0.1310  0.2558 -0.3655  0.5595
  0.6200  0.2642 -0.2338 -0.1592 -0.2442  0.0071  0.2064 -0.4116  0.0189 -0.0746 -0.0241  0.0077 -0.3757  0.2548  0.2691 -0.5086 -0.3966  0.0200 -0.1202 -0.2765  0.2895  0.0547  0.2380  0.1089 -0.0704  0.2396 -0.0386 -0.1036 -0.1685 -0.1009  0.1867  0.0945 -0.1164  0.1705  0.3989  0.4166 -0.1754 -0.0360 -0.0374 -0.0267  0.1191 -0.3532 -0.1358 -0.1008  0.0375  0.3300 -0.1543  0.0825  0.1140 -0.2070  0.2938
 -0.8790 -0.0220  0.0099  0.0976 -0.0189 -0.5701 -0.2741  0.0446 -0.0467 -0.2335 -0.2380 -0.1942 -0.3327 -0.0393  0.1030 -0.4423 -0.1347 -0.1796 -0.0128 -0.1972  0.0784 -0.2982  0.1988  0.2587  0.4861  0.0984 -0.3872  0.3806 -0.0458  0.0295 -0.2618  0.0227 -0.0408  0.1327  0.3384  0.1163  0.1431 -0.2936 -0.1713 -0.3441  0.2837 -0.2455 -0.3500  0.2437 -0.2171  0.0803 -0.1060 -0.5967 -0.2045 -0.0579  0.1500
  1.1332  0.1708  0.3718 -0.3304  0.3440 -0.4158  0.4426 -0.0339  0.0701 -0.5107 -0.2133  0.0506  0.1127  0.1478  0.1899  0.1480 -0.2330  0.3872 -0.2247 -0.1834 -0.0786 -0.0060 -0.3502  0.0004  0.1815 -0.2460  0.7277  0.3272 -0.2750 -0.0458  0.0377  0.3506 -0.0634 -0.4318  0.0241 -0.3346  0.1610 -0.2321 -0.2432 -0.0581  0.1276  0.1292 -0.0561  0.1322  0.2662  0.2289 -0.5173 -0.0500  0.0069  0.0074  0.3937
  1.2389  0.2962  0.3327 -0.0518 -0.3398 -0.3737  0.1483  0.1194  0.2286 -0.1796  0.0304  0.2967  0.0938  0.1757 -0.0800  0.1930  0.0837  0.0975  0.2465 -0.0167  0.1767  0.1056 -0.0396 -0.3805 -0.3552 -0.0374  0.1498 -0.0078  0.2918 -0.1396  0.3200 -0.2892  0.0461 -0.0505  0.0150  0.2378 -0.2945  0.3422  0.2231 -0.2394 -0.1132 -0.0795 -0.1283  0.1381 -0.3976  0.4358 -0.1780  0.4838 -0.0337 -0.3645 -0.0626
 -1.4984 -0.3329 -0.0961  0.0090 -0.0887 -0.2309  0.1491  0.1685 -0.2387 -0.0160  0.0982 -0.0904 -0.1211 -0.3731  0.0663 -0.0333 -0.1059  0.1269  0.1490  0.1769  0.2021 -0.2720  0.0642  0.2466 -0.0546 -0.3019 -0.2684  0.2092 -0.4324 -0.3363 -0.0124  0.3267 -0.2446  0.0905 -0.3416 -0.0318 -0.0644 -0.2383 -0.3130 -0.1653  0.2413  0.0295 -0.0340 -0.3420 -0.0015 -0.0558  0.0461  0.1658  0.3228  0.3536  0.0690
 -1.4629  0.2246  0.1538 -0.3734 -0.2842  0.3689 -0.1314  0.0189  0.3060 -0.0664  0.2029 -0.1958 -0.1570  0.2603  0.5835  0.5344  0.2642 -0.2339  0.0394  0.0303 -0.0607 -0.0213  0.0744  0.0054 -0.3397  0.0272  0.4353 -0.0254 -0.0896 -0.1136  0.0157  0.2339 -0.3468 -0.1284 -0.1686 -0.0846 -0.0263  0.1916 -0.1521 -0.0411  0.4307 -0.2146  0.0797  0.0376  0.4791 -0.1019  0.1679 -0.2174  0.1820  0.2078  0.2276
  1.0461 -0.1762  0.2994 -0.3560  0.0909  0.2332 -0.0479 -0.3458 -0.1392 -0.3442  0.3527 -0.5427 -0.1837  0.0559  0.8328  0.1234 -0.0088  0.2225  0.0511  0.0029  0.0794 -0.1379 -0.2548  0.1204 -0.1420 -0.1360  0.0369 -0.2107  0.4800 -0.3266 -0.2241  0.0216  0.3670  0.0872  0.2773  0.0751  0.0913  0.3840  0.3740  0.4232 -0.1099  0.3582  0.2195  0.1268  0.2130  0.2519 -0.2015  0.0581  0.0920 -0.1133  0.0820
 -1.2162  0.2898  0.1710  0.1521 -0.0953  0.3432  0.3061  0.3598 -0.3883 -0.2243  0.2336 -0.3000  0.1798 -0.1820 -0.2892 -0.2016  0.0617  0.1007  0.1884 -0.1651 -0.3774 -0.1592  0.1912 -0.0199  0.0467 -0.2442 -0.2694 -0.1517  0.2603  0.2539 -0.2711 -0.1891 -0.0126  0.1171 -0.0406 -0.3485 -0.0212  0.1814 -0.0198 -0.2104  0.1062  0.3610  0.2663 -0.0872  0.1060 -0.1904 -0.0827  0.0761  0.1341  0.0132  0.1389
  0.9564 -0.2745 -0.1838 -0.0338 -0.3247 -0.3872  0.0949  0.0990 -0.0397 -0.1178 -0.2570 -0.1460  0.1052  0.2065 -0.1377  0.1871  0.1873  0.2584  0.1779  0.2002  0.2001  0.3091 -0.2036 -0.0876  0.1952  0.0551  0.0172  0.1432  0.0026  0.3705  0.3589 -0.3750 -0.2826 -0.2031  0.3508  0.0872 -0.2692 -0.4095  0.1341 -0.1447  0.1883 -0.1964  0.2374  0.1180 -0.3080  0.1542 -0.0816  0.0473 -0.2019  0.2433 -0.2752
 -0.5355  0.0311 -0.2048  0.3367 -0.0813  0.2084 -0.1446  0.0405 -0.1298  0.1180 -0.3617  0.1956  0.1939 -0.0962  0.3972  0.3211 -0.1678  0.3584  0.1759  0.0173  0.1628  0.0613 -0.0197  0.0458 -0.2654 -0.0773  0.1959 -0.0413 -0.0415  0.2536  0.2604 -0.2201 -0.1054  0.2078  0.2418  0.5286 -0.2009  0.2189  0.0328 -0.1859 -0.3189  0.3248 -0.0505 -0.0148 -0.3426 -0.0254 -0.0513  0.4147  0.0917 -0.0827 -0.5424
