VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.6534  0.3581  0.0944 -0.2056 -0.3977 -0.2980  0.2752  0.2631 -0.2789 -0.3987 -0.1562  0.1679 -0.0061  0.2871 -0.0989 -0.1841  0.3095 -0.1854 -0.1211 -0.2098  0.1502 -0.0303  0.0130 -0.4437 -0.2757  0.0875 -0.0620 -0.1924  0.1239  0.2300  0.0741  0.2354 -0.3116 -0.2813 -0.3319 -0.0632 -0.3015 -0.1574  0.0324 -0.1644  0.1694  0.2948 -0.3108  0.0322  0.1304 -0.1521  0.2712  0.3085 -0.0036 -0.0909  0.1176
 -0.8712 -0.0684 -0.3418  0.1295 -0.0929 -0.2182 -0.1982 -0.2895  0.2477 -0.1689 -0.2768  0.3461 -0.3977  0.0758  0.0107  0.0374  0.2745  0.2360  0.0906  0.5009 -0.2944  0.2002 -0.0299  0.2608  0.2038 -0.2877 -0.1805  0.2978 -0.2854 -0.0675  0.0369 -0.3830  0.1704 -0.1321  0.2906  0.1303  0.0108  0.1528  0.4053  0.0970  0.1338  0.0358 -0.1608  0.1630 -0.0240 -0.1502  0.1494  0.2111 -0.4918  0.2129 -0.3309
 -1.0706 -0.0707 -0.2195 -0.2148  0.0306  0.2047  0.2569 -0.1739 -0.1642  0.1473  0.2810 -0.1533  0.4737  0.1167  0.0677 -0.1370  0.2474 -0.4302 -0.4797 -0.0721  0.0766 -0.1514  0.0380  0.0569 -0.0190  0.0543  0.3614  0.0879  0.1858 -0.3495 -0.1983 -0.3423 -0.3507 -0.0269  0.2417 -0.1284  0.2102  0.3032  0.1520  0.2859  0.1093  0.1413  0.4850  0.1936  0.4041 -0.2049 -0.1893 -0.2092 -0.0631 -0.1972 -0.1548
  1.2604  0.1105  0.0628 -0.3375 -0.1748  0.4792  0.2198 -0.4362 -0.3969 -0.1401  0.0260  0.0576  0.2131  0.0463  0.0047 -0.0677 -0.0719 -0.2111 -0.2163 -0.4526  0.1042 -0.2432 -0.0094 -0.3289  0.2942 -0.1108  0.1522 -0.3008  0.1821  0.2204 -0.4671 -0.3099  0.0582  0.5114  0.2191  0.4476  0.1766  0.1715 -0.0364 -0.2044 -0.4496 -0.3902 -0.0940  0.1437  0.5095 -0.0836  0.0553 -0.1264 -0.2126 -0.1713  0.0257
 -1.6369 -0.1096 -0.1009 -0.0030  0.2393 -0.1857  0.3356  0.6745  0.6732 -0.3471  0.0048  0.1229  0.0480  0.1933 -0.2276 -0.2691  0.1461  0.4573  0.1446  0.6076 -0.2680  0.4320  0.0720  0.0684  0.1157 -0.2986 -0.6347  0.0400 -0.1835  0.2517 -0.4554 -0.1493  0.2317  0.1874 -0.0993  0.1117 -0.5181  0.1493 -0.1822 -0.2737  0.2233 -0.2727 -0.0177  0.2934  0.3917 -0.4419  0.4350 -0.2041 -0.2437  0.0845 -0.0474
 -1.6054  0.0734 -0.0082 -0.1563  0.1300  0.0939  0.1983 -0.0070  0.1710  0.3595 -0.2133  0.2979 -0.1769 -0.4713  0.0426  0.0213 -0.2987  0.1578 -0.3230  0.1722 -0.0946  0.1501 -0.2621 -0.2946  0.1323  0.3542  0.0970  0.1926 -0.3685  0.3584 -0.1242  0.2385 -0.0564  0.0888  0.3421 -0.3352 -0.3317  0.2273 -0.3159 -0.3840  0.0722 -0.0229  0.0309  0.3026 -0.1942 -0.0320 -0.0423 -0.4417 -0.0350  0.2703 -0.2077
  1.2804 -0.1487 -0.3239 -0.3537 -0.0111 -0.2482  0.0144 -0.0979 -0.2701 -0.2802  0.2470  0.2456  0.3043 -0.1654  0.1294 -0.2213  0.2278  0.1519  0.2392 -0.3308  0.2585 -0.0419 -0.0456 -0.2413  0.1586 -0.0456 -0.1721 -0.1290 -0.1698 -0.1828  0.0982  0.1911  0.1424  0.3084 -0.1367  0.0157 -0.2257 -0.1381  0.2630  0.2150 -0.3350  0.3098 -0.2326  0.2813  0.1760  0.0049 -0.2200 -0.0534 -0.2635 -0.1951  0.0141
 -1.0562  0.4583 -0.3788 -0.0690  0.1459 -0.2155  0.3845 -0.1266 -0.3256 -0.1415  0.0370  0.1507 -0.0363  0.0384  0.2790  0.2639  0.0572 -0.0582  0.3845  0.1482 -0.0987  0.1988  0.0866 -0.0382 -0.1341 -0.3099 -0.1932  0.5283 -0.4638  0.0455  0.0599  0.1268  0.2309  0.0754 -0.5597 -0.2143 -0.2391 -0.1610 -0.0824 -0.1241  0.3442  0.2426  0.0218 -0.0770  0.1117  0.2868  0.2025  0.1019 -0.1098  0.3276  0.2243
  0.9297  0.0797  0.2284  0.1942  0.1472  0.3453  0.0009 -0.1773  0.2685  0.0897  0.0132 -0.3526 -0.2163 -0.1914 -0.1184 -0.2924  0.1360  0.1705 -0.3575 -0.1498  0.2697  0.1396 -0.3184 -0.1869  0.2613  0.1016  0.0149 -0.3622 -0.2294 -0.4010 -0.4213  0.1216 -0.1960  0.2455  0.0693  0.0103  0.0846  0.0669 -0.2436 -0.0234  0.0850  0.2953  0.3898  0.1121 -0.3028 -0.3308  0.3729  0.2538 -0.2975 -0.0686 -0.0430
  0.7260 -0.1115  0.1150  0.1406 -0.1144  0.2277 -0.1677 -0.0027  0.2166 -0.1685  0.6412  0.4338  0.2952 -0.0219  0.4369 -0.0404  0.3808  0.3472 -0.1324  0.1254 -0.1430 -0.1846 -0.0141 -0.2616  0.0360  0.0582  0.2960 -0.2595 -0.1006 -0.0578  0.3248  0.1937  0.3349  0.3529 -0.0782 -0.1891  0.3442 -0.1081  0.0695  0.3603  0.0333  0.0613 -0.0947 -0.1549  0.0378 -0.2171 -0.0366  0.0100 -0.1113  0.2341 -0.3988
