VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -0.2510  1.1374  1.4321 -0.9793 -0.2257  0.1967  0.1943 -0.0810 -0.0871  0.1024  0.0011 -0.0257 -0.0112  0.0125  0.0933  0.0021 -1.2223 -0.0190 -0.2892 -0.2851  0.2282  0.3885 -0.3166 -0.3493 -0.3649 -0.2243  0.3207  0.3536 -0.1737 -0.3600  0.1966  0.2611  0.3857  0.7038  1.8308  1.1017 -0.5787  0.2211 -0.2313 -0.3910  0.1682 -0.2439 -0.4000 -0.0229  0.1009 -0.0595 -0.1036 -0.1743 -0.0955  0.0556  0.1718
 -0.7456  1.0838  1.7684 -0.1723  0.7518  0.5171  0.3613  0.0233 -0.5610  0.3663 -0.1139  0.1511 -0.2388 -0.2852  0.0424  0.3407  1.7624  1.1768 -0.7886 -0.1243 -1.1199 -0.0822  0.1220  0.2573  0.3187 -0.3090  0.1443  0.5195  0.1880  0.3012  0.4162  1.8325  0.3799  0.7825 -1.9628 -0.7605  0.3781 -0.1178  0.4271 -0.0458  0.2952  0.0489  0.0854  0.1235  0.2108 -0.3226 -0.0715  0.2369  0.1009 -0.1090  0.1905
  0.9503 -0.4351 -1.7113  0.7741  1.2970  0.0056 -0.1073 -0.2131 -0.2862 -0.1324 -0.3335  0.1406  0.3415 -0.1875 -0.2563 -0.5395 -1.4112 -0.8337 -0.3115  1.7828 -0.1485 -0.0638  0.0241 -0.1577  0.0676 -0.0361 -0.1889  0.7757 -0.2100  0.3977 -0.5054 -2.1084  1.6575  0.1892  0.5563  0.0514 -0.3769 -0.0599 -0.0065 -0.2348 -0.1165  0.2361 -0.4747 -0.1493  0.2016 -0.4782  0.1110  0.0516 -0.0109 -0.0168  0.0473
  2.2070 -1.0996  0.7882 -0.3834  1.0650  0.2861  0.6661  0.2296  0.1081 -0.0628  0.1748 -0.1114  0.1335  0.0360 -0.3124 -0.1713  1.1444 -0.9751 -0.0224 -0.9635 -0.1084  0.1847 -0.2869  0.7196  0.2730  0.3275  0.0418 -0.6101  0.0256 -0.1363  0.0094  1.2384  0.9161  0.2019 -1.8096  0.4332  0.3658 -0.3662  0.1664 -0.5262 -0.0806 -0.1335 -0.5060 -0.2147  0.0760  0.0864 -0.1416 -0.0993 -0.0752 -0.1382  0.2220
 -1.0686  0.0541 -1.2186  0.2895  0.9466 -0.6867 -0.3259 -0.1615  0.1819 -0.2020 -0.2143 -0.1328  0.3414 -0.1130 -0.1982  0.3700 -2.3742 -0.7754 -0.0356  1.6240 -1.3194  0.5046  0.1191  0.1409  0.4684 -0.2915  0.0044 -0.0207 -0.3022 -0.1577  0.6693 -0.7373 -0.8257  0.1967 -1.6951 -0.9064 -0.1870  0.2622 -0.0054  0.1199 -0.2656 -0.4238 -0.0151 -0.0581 -0.0820 -0.1875  0.0101 -0.0401 -0.0643 -0.0008  0.1624
  1.4677 -1.4854 -0.5368 -0.5296 -0.0891  0.2293  0.3910  0.0273  0.1954 -0.0363 -0.3015  0.5056 -0.1849  0.1671  0.4660 -0.6416  0.8204 -0.2447  0.2729 -2.1791 -1.1718  0.2783 -0.1153 -0.3712  0.3822  0.1418 -0.1225  0.1357 -0.1970  0.0162 -0.2738 -1.4372  0.0127  0.3393 -1.7400  0.6454  0.0176  0.0122 -0.1588 -0.1050 -0.2239 -0.1650 -0.3040  0.2047 -0.1941 -0.4094  0.0569 -0.0924 -0.1706 -0.2633  0.0137
  0.2775  1.9555 -1.2469 -0.7875  1.0803 -0.3282 -0.0868  0.2096 -0.0611 -0.1351  0.1791 -0.0938  0.2769 -0.2748  0.2072  0.6953  0.3268  1.0935  0.0446 -0.8126  1.2874 -0.0808  0.5138 -0.3047 -0.0792 -0.2958 -0.2237 -0.2637 -0.0878 -0.0783 -0.3825  1.8606 -1.1842  0.2738 -0.6041 -0.0426  0.3651  0.6679 -0.1865 -0.4205  0.0312 -0.1655 -0.1017  0.1899 -0.3153 -0.6065  0.1118  0.0016 -0.0151 -0.0806 -0.2222
 -1.0287  0.8325  1.4031 -0.0862  1.9535 -0.8679 -0.2616  0.0532  0.1079  0.2082 -0.1271  0.4219  0.7987 -0.1739 -0.0617  0.7784 -0.6139 -0.0512  0.5718  1.0661 -0.0204  0.1538  0.4687 -0.3690  0.0148 -0.5252  0.3841 -0.6111  0.1342  0.0340  0.6526 -0.7240  1.0535  0.7629 -1.0956  0.1802 -0.1492  0.3158 -0.0849 -0.2089 -0.3075 -0.0981  0.0327 -0.1317  0.0029  0.2790  0.1300  0.0852 -0.0747  0.2740  0.0395
 -0.5340  1.4738  1.9810  0.5737  0.0882 -0.2273  0.1241 -0.2563  0.3223 -0.0416 -0.0790 -0.0331  0.1892  0.2182  0.0469 -0.4439 -1.3527 -0.6144 -0.5929 -0.6832 -0.2917  0.1737  0.2600  0.0695  0.4004  0.0774 -0.4254  0.8789 -0.0837  0.0363  0.0835 -1.4770 -1.5772  0.2202 -0.5220 -0.3456 -0.5067 -0.3242 -0.6981  0.0077 -0.1708  0.0630 -0.2659 -0.0613  0.2224  0.5176 -0.1384 -0.0663 -0.0804 -0.2257 -0.0107
 -0.9426  1.3047  0.6299  0.6551 -0.7668 -0.7638 -0.3172 -0.2373 -0.1759 -0.2963  0.1154  0.1133  0.5870 -0.2503  0.1598 -0.1399  1.3119  1.6604 -0.0658  0.4935 -0.3210 -0.5664  0.6369 -0.1488  0.0515  0.0650  0.3577  0.5484  0.3297 -0.0554 -0.3363 -2.1033  0.9484  0.0611 -0.9730 -0.8784 -0.2368  0.1793  0.6633  0.4761 -0.1599  0.0537 -0.5379 -0.1415 -0.0055  0.6664 -0.0258 -0.0750 -0.3597  0.6005 -0.1409
