VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  0.6339  0.0114  0.2273 -0.2771  0.0951 -0.3326  0.1725  0.1972 -0.4940  0.0957  0.1115  0.1364 -0.0193  0.0194 -0.3487 -0.0181  0.0536 -0.1768  0.2354 -0.3251  0.1830  0.5758 -0.1723 -0.3987 -0.2899  0.0540  0.2109 -0.0937 -0.0242  0.2760 -0.5378  0.1920 -0.2205 -0.5327 -0.1344  0.3719  0.0226 -0.2086  0.0180 -0.3169 -0.1559  0.1458 -0.2122  0.3704 -0.0776  0.1934 -0.0200  0.1037  0.2308 -0.5451  0.2701
 -0.8787 -0.1607 -0.4525 -0.1111 -0.5165 -0.3015 -0.4506 -0.4707  0.2913 -0.7355  0.2531  0.3281  0.0636  0.3192 -0.0873  0.0460  0.1544  0.1373  0.2612 -0.5005 -0.1036 -0.7179  0.0588 -0.5589  0.1173 -0.3089 -0.2288 -0.1644 -0.3256  0.2902 -0.2938 -0.5693  0.5760 -0.1055  0.2642 -0.3132  0.0296  0.0387  0.2200  0.1820 -0.1683  0.2653  0.0277  0.3065  0.5539  0.1467 -0.0257 -0.0813  0.0865  0.2124 -0.7721
 -1.3536  0.2279  0.1644 -0.2268 -0.7024  0.3332  0.0260 -0.0355 -0.4447  0.1394  0.1174 -0.0535  0.2970 -0.4807  0.2438 -0.1671  1.0138 -0.0356 -0.0601 -0.0075 -0.2010  0.6849  0.2065  0.2101  0.1088 -0.2414  0.2249  0.4847  0.0931 -0.2010 -0.3071 -0.3121 -0.1919  0.1407 -0.3281 -0.1815  0.0034  0.1848  0.2255  0.0068 -0.0067  0.1119  0.1592  0.4435  0.2128 -0.1446 -0.3140 -0.0941  0.2088 -0.3455 -0.1529
  1.2531 -0.0843 -0.4006  0.4554  0.1687  0.5571 -0.1022 -0.4272  0.2885  0.0926 -0.4363 -0.0241 -0.3657  0.1187 -0.1843 -0.2446 -0.1615 -0.5883 -0.1178 -0.3269 -0.1000 -0.2826  0.3058 -0.0921  0.0583  0.1567  0.3944  0.0522 -0.0769  0.0441 -0.0323  0.0778  0.0441 -0.0246  0.2814  0.0938  0.4765 -0.3098  0.1516 -0.1515 -0.2391  0.1659 -0.0790  0.0022  0.0958 -0.2183  0.5028 -0.3095  0.1102 -0.5768  0.2067
 -1.9188  0.2821 -0.3282 -0.1191  0.6273 -0.4433  0.0521 -0.0335  0.7852  0.0731  0.6890  0.2962  0.2018  0.3832  0.4136  0.2551  0.1328  0.4747 -0.0964  0.4004 -0.1020  0.7104  0.0269 -0.2833  0.0035 -0.0119 -0.2697  0.2870  0.4348  0.0014 -0.0993  0.4334  0.1927  0.0198  0.2270 -0.0109 -0.4269  0.1081 -0.3547 -0.0012 -0.0210 -0.5021 -0.1377  0.2074  0.4982 -0.4126  0.3645  0.2783 -0.3637  0.2277 -0.0587
  1.5223 -0.2374 -0.0840 -0.3563 -0.2247  0.5318 -0.0069 -0.3048 -0.1006 -0.0450 -0.4261  0.0492 -0.0709 -0.3272  0.1899 -0.2082 -0.2099 -0.0237  0.0912 -0.5258 -0.3201 -0.6151 -0.7368 -0.3024  0.1618  0.0499  0.1707 -0.2225 -0.4273 -0.3199  0.3009  0.0864 -0.6705 -0.7894  0.0820  0.0144  0.0492 -0.3829  0.1251 -0.1511 -0.2404  0.0034  0.0914 -0.2714  0.4864 -0.1457 -0.3681 -0.4080 -0.1602 -0.3907  0.3459
 -1.2971  0.1741  0.1278  0.2353  0.0785  0.3508  0.2843 -0.2938  0.1868  0.2755 -0.1430 -0.1669  0.1331 -0.2932 -0.1079  0.1490 -0.2217  0.0792 -0.0400 -0.2884 -0.3097 -0.0459 -0.0803  0.2351 -0.2173 -0.0293 -0.1944  0.3165  0.1230  0.2293  0.1491  0.2844  0.2446  0.1980  0.1791  0.1872  0.2192 -0.0476  0.1693 -0.1372 -0.2535  0.1628  0.2681 -0.0758 -0.5655  0.3581 -0.0839 -0.1945 -0.0976 -0.0037 -0.0650
 -1.3234  0.4762 -0.1815  0.0222  0.1604 -0.0724  0.0645 -0.1467  0.2912  0.2246  0.4039  0.4146  0.3280 -0.0604 -0.1444  0.1367 -0.0569 -0.0900 -0.0416 -0.0325 -0.1453 -0.0694  0.3154 -0.2210  0.3415 -0.2346 -0.3211  0.0022 -0.3547  0.3972  0.3938 -0.0159 -0.0724  0.0756  0.4296 -0.1069  0.3166  0.0955  0.3041  0.0423 -0.5496 -0.0137 -0.1896 -0.0796 -0.5070 -0.1514  0.0909 -0.1837 -0.1139 -0.3063  0.0070
 -0.8472  0.2457  0.0343  0.2526  0.0241  0.4629  0.1434 -0.1352  0.0485 -0.1405  0.1990  0.0008 -0.1634  0.0465  0.1679  0.1564  0.3128  0.0328  0.0154 -0.2731  0.1614 -0.3522  0.5666  0.1140  0.1686 -0.2575  0.3706 -0.2549  0.2922  0.1273  0.3643  0.0472  0.1530  0.1417  0.0746 -0.2761  0.1772 -0.2225 -0.3511 -0.0525 -0.2019  0.0205 -0.1826  0.3766 -0.1679 -0.0076 -0.1751 -0.4620  0.1153 -0.0472 -0.6596
  0.6248 -0.7880  0.3513 -0.1118  0.0268 -0.0454 -0.1002 -0.4420 -0.1271 -0.1988 -0.1773 -0.0938  0.1139  0.3360  0.0075  0.0208 -0.4758 -0.1754 -0.1756 -0.1466  0.1975 -0.5236 -0.1067 -0.2376  0.2306  0.2139 -0.2519  0.0608 -0.2034  1.1069  0.2799  0.0080  0.6161 -0.2211 -0.1918 -0.1018  0.1049 -0.4608  0.1029  0.4202  0.2276  0.1103 -0.3170  0.2118  0.1344  0.4421 -0.2383 -0.2790  0.0483 -0.2895  0.4168
  0.6238 -0.4729  0.1885  0.2050 -0.0820 -0.3295 -0.4021  0.7436 -0.0816 -0.4823  0.0739  0.2524  0.2224 -0.0961  0.0584 -0.3172 -0.3056  0.0538  0.1872 -0.0938 -0.0383  0.9354  0.2450 -0.1675 -0.0463 -0.0486  0.2341  0.1356  0.0225 -0.2857 -0.8785  0.2705 -0.4827  0.0487 -0.1036  0.2942 -0.0996  0.0203  0.0934 -0.0497  0.1198  0.1774 -0.0804  0.1781 -0.0959  0.0367  0.1297  0.2295  0.1058  0.1766  0.6887
  0.0886 -0.2618 -0.1697 -0.1160 -0.1387  0.1074 -0.1805  0.1709 -0.2213 -0.0488  0.0294  0.1224 -0.1303  0.2588  0.0644 -0.3306  0.1633  0.0663 -0.0895 -0.3854 -0.0789  0.2720  0.1297 -0.0227 -0.3650 -0.3031  0.2743  0.1933 -0.6593 -0.2934  0.4853 -0.1127 -0.0638 -0.0404 -0.0313 -0.4887 -0.1031  0.0557 -0.5381 -0.0185  0.2526  0.3202 -0.1491 -0.3272 -0.1882 -0.0064  0.0566  0.1552  0.0519  0.2721 -0.1822
  0.0062 -0.7953  0.2053 -0.1567  0.2378 -0.1127 -0.2079  0.1930 -0.0166 -0.2849  0.0314  0.0406  0.0801 -0.1416 -0.0862  0.5001  0.8158  0.5234  0.1932 -0.2642 -0.7024 -0.3006  0.3164 -0.9789  0.2058 -0.2225 -0.0590  0.2861 -0.0893  0.3652 -0.8334  0.1339  0.0565  0.2083 -0.0101  0.1218 -0.3043 -0.2595  0.0105  0.3426  0.3124  0.6744 -0.2997  0.1904 -0.2129  0.0663 -0.0623 -0.1288 -0.3171  0.1806  0.5522
 -0.5240  0.2010 -0.2039 -0.2241 -0.0515  0.3592  0.4255  0.0012 -0.3828  0.0822 -0.0888 -0.1949 -0.5974 -0.0601  0.0518 -0.4271  0.2122 -0.2107 -0.3231 -0.3608 -0.0411  0.7781  0.1064 -0.5473  0.0264  0.5126  0.2420  0.0730 -0.1480 -0.3507 -0.4203 -0.0382 -0.3326 -0.3383 -0.2065 -0.2423 -0.3178 -0.1484  0.1717 -0.3091  0.0441  0.2271  0.0342  0.4349  0.1904 -0.0766  0.0150 -0.2181 -0.1135 -0.2082  0.1829
 -0.5825 -0.3640 -0.3720  0.5666  0.4050  0.0768  0.1010 -0.0669 -0.0174  0.0075  0.4049  0.0026 -0.7594 -0.0114 -0.0416  0.0196 -0.4322  0.0969 -0.0989 -0.1520 -0.1704  0.3679 -0.3155 -0.0717  0.4394  0.2726  0.2540  0.2174  0.4621  0.1925 -0.3768  0.1208  0.1674 -0.5687  0.3293 -0.0614 -0.7151 -0.2359 -0.0050 -0.1570  0.2374 -0.0708 -0.7951  0.0912 -0.0304 -0.1398 -0.4185  0.0870 -0.0582 -0.5981  0.1465
  0.6785  0.3157 -0.1921  0.1580 -0.1086 -0.3302  0.0710  0.8920 -0.4657 -0.1363 -0.1488  0.0012  0.0484  0.3099 -0.2117  0.0601  0.2143 -0.4694  0.1334 -0.0986  0.1758  0.8854  0.1684  0.0520  0.0424  0.0993  0.2462 -0.3796  0.2866 -0.0680 -1.0568 -0.2335 -0.4828 -0.2016 -0.3457 -0.1328 -0.1075 -0.5017  0.1550 -0.2821  0.2780  0.2919 -0.1091  0.3742 -0.2206 -0.0755  0.2871 -0.1093  0.1012  0.0109  0.0367
